Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/14/2022,10/16/2022,TARGET        00032110,Shopping,Sale,-18.54,
10/12/2022,10/13/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-13.02,
10/09/2022,10/10/2022,SQ *DONKEYS &amp; SCOOTERS ME,Entertainment,Sale,-65.00,
10/09/2022,10/10/2022,LINCOLN THEATRE,Food & Drink,Sale,-5.40,
10/06/2022,10/07/2022,PAYPAL *KIREI.KEEKI,Shopping,Sale,-10.00,
09/26/2022,09/27/2022,Payment Thank You-Mobile,,Payment,118.74,
09/24/2022,09/25/2022,CVS/PHARMACY #10168,Health & Wellness,Sale,-14.75,
09/23/2022,09/25/2022,PAYPAL *UBER EATS,Food & Drink,Sale,-3.00,
09/23/2022,09/25/2022,PAYPAL *UBER EATS,Food & Drink,Sale,-2.80,
09/22/2022,09/23/2022,DOORDASH DASHPASS,Food & Drink,Sale,-4.99,
09/22/2022,09/23/2022,DOORDASH*DUNKIN,Food & Drink,Sale,-16.80,
09/16/2022,09/18/2022,TARGET        00032110,Shopping,Sale,-33.99,
09/12/2022,09/13/2022,CVS/PHARMACY #10168,Health & Wellness,Sale,-6.48,
09/04/2022,09/08/2022,ROY ROGERS RESTAURANT 75,Food & Drink,Sale,-2.64,
09/04/2022,09/06/2022,QU JAPAN,Food & Drink,Sale,-11.13,
09/04/2022,09/05/2022,TARGET        00032110,Shopping,Sale,-22.16,
09/02/2022,09/02/2022,Payment Thank You-Mobile,,Payment,316.72,
08/30/2022,08/31/2022,VITALSOURCE,Entertainment,Sale,-64.99,
08/30/2022,08/30/2022,VENTURE ARTISAN,Education,Sale,-35.00,
08/29/2022,08/30/2022,DOORDASH*AROY THAI RES,Food & Drink,Sale,-17.38,
08/27/2022,08/29/2022,TARGET        00032110,Shopping,Sale,-7.18,
08/25/2022,08/26/2022,PANDA EXPRESS #802,Food & Drink,Sale,-8.17,
08/24/2022,08/25/2022,eBay O*21-09017-62459,Shopping,Sale,-95.40,
08/24/2022,08/24/2022,DOORDASH*AROY THAI RES,Food & Drink,Sale,-40.57,
08/22/2022,08/24/2022,DINING VENUES AT UM,Groceries,Sale,-8.43,
08/23/2022,08/23/2022,Payment Thank You-Mobile,,Payment,109.32,
08/22/2022,08/23/2022,SMARTRIP WASHINGTON DC,Travel,Sale,-10.00,
08/22/2022,08/23/2022,TARGET        00032110,Shopping,Sale,-29.60,
08/21/2022,08/22/2022,JUMBO JUMBO CAFE,Food & Drink,Sale,-29.96,
08/20/2022,08/22/2022,KUNG FU TEA - COLLEGE PAR,Food & Drink,Sale,-6.36,
08/20/2022,08/22/2022,TARGET        00032110,Shopping,Sale,-17.44,
08/19/2022,08/21/2022,PARCHMENT-UNIV DOCS,Professional Services,Sale,-10.00,
08/17/2022,08/19/2022,DINING VENUES AT UM,Groceries,Sale,-16.91,
08/16/2022,08/18/2022,TACO BELL 739072,Food & Drink,Sale,-4.83,
08/17/2022,08/18/2022,Payment Thank You-Mobile,,Payment,91.52,
08/17/2022,08/18/2022,TARGET        00032110,Shopping,Sale,-15.39,
08/16/2022,08/18/2022,DINING VENUES AT UM,Groceries,Sale,-8.43,
08/17/2022,08/17/2022,Payment Thank You-Mobile,,Payment,103.57,
08/16/2022,08/17/2022,PANDA EXPRESS #802,Food & Drink,Sale,-8.17,
08/16/2022,08/17/2022,PAYPAL,Professional Services,Sale,-93.53,
08/16/2022,08/17/2022,TARGET        00032110,Shopping,Sale,-22.68,
08/16/2022,08/17/2022,Payment Thank You-Mobile,,Payment,49.77,
08/15/2022,08/17/2022,DINING VENUES AT UM,Groceries,Sale,-16.91,
08/15/2022,08/16/2022,TARGET        00032110,Shopping,Sale,-23.80,
08/14/2022,08/16/2022,TERRAPIN EXPRESS,Groceries,Sale,-20.00,
08/16/2022,08/16/2022,CSC ServiceWorks  Inc.,Personal,Sale,-10.00,
08/14/2022,08/15/2022,BIG BOWL LINCOLNSHIRE,Food & Drink,Sale,-26.90,
08/14/2022,08/14/2022,MILK COW CAFE,Food & Drink,Sale,-5.29,
08/12/2022,08/12/2022,DOORDASH*CHILIS GRILL,Food & Drink,Sale,-17.58,
08/11/2022,08/11/2022,Payment Thank You-Mobile,,Payment,260.94,
08/09/2022,08/10/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-10.81,
08/09/2022,08/10/2022,BESTBUYCOM806668346361,Shopping,Sale,-268.10,
08/09/2022,08/10/2022,DOS AMIGOS MEXICAN,Food & Drink,Sale,-30.91,
08/09/2022,08/10/2022,BESTBUYCOM806668346361,Shopping,Return,96.51,
08/07/2022,08/08/2022,APPLE.COM/BILL,Shopping,Sale,-8.57,
08/06/2022,08/07/2022,PARCHMENT-UNIV DOCS,Professional Services,Sale,-10.00,
08/05/2022,08/07/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-2.02,
08/05/2022,08/07/2022,DOORDASH DASHPASS,Food & Drink,Sale,-4.99,
08/06/2022,08/07/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-4.08,
08/06/2022,08/07/2022,Payment Thank You-Mobile,,Payment,77.81,
08/06/2022,08/07/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-0.73,
08/06/2022,08/07/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-17.24,
08/03/2022,08/04/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-2.02,
08/02/2022,08/03/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-3.33,
08/01/2022,08/02/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-17.70,
08/01/2022,08/01/2022,BANDCAMP LUIS HUMANOIDE,Shopping,Sale,-15.00,
07/31/2022,08/01/2022,Payment Thank You-Mobile,,Payment,70.82,
08/01/2022,08/01/2022,DOORDASH*TASTY THAI,Food & Drink,Sale,-23.39,
07/29/2022,07/31/2022,CVS/PHARMACY #10168,Health & Wellness,Sale,-3.10,
07/30/2022,07/31/2022,SQ *CREWS DCA2 LLC,Food & Drink,Sale,-13.27,
07/27/2022,07/28/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-14.97,
07/28/2022,07/28/2022,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
07/28/2022,07/28/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.23,
07/27/2022,07/28/2022,OT Distribution GmbH &amp; Co,Shopping,Sale,-7.69,
07/26/2022,07/27/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-7.76,
07/23/2022,07/24/2022,Payment Thank You-Mobile,,Payment,46.91,
07/22/2022,07/24/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-1.60,
07/24/2022,07/24/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.72,
07/23/2022,07/24/2022,OT Distribution GmbH &amp; Co,Shopping,Sale,-24.31,
07/23/2022,07/24/2022,PORTILLOS HOT DOGS #18,Food & Drink,Sale,-3.54,
07/21/2022,07/22/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-17.11,
07/21/2022,07/21/2022,TRANSCRIPT SERVICES,Professional Services,Sale,-10.00,
07/20/2022,07/21/2022,DOORDASH*MOD PIZZA,Food & Drink,Sale,-19.80,
